mjd,datetime_str,RA,DEC,V,RA_rate,DEC_rate
58578.5,2019-Apr-05 12:00,19.70867,15.94665,19.39,108.2316,27.26173
58579.5,2019-Apr-06 12:00,20.45466,16.1287,19.386,108.1854,26.93861
58580.5,2019-Apr-07 12:00,21.20098,16.30859,19.381,108.1384,26.60961
58581.5,2019-Apr-08 12:00,21.94765,16.48629,19.376,108.0907,26.27475
58582.5,2019-Apr-09 12:00,22.69466,16.66176,19.372,108.0424,25.93407
58583.5,2019-Apr-10 12:00,23.44199,16.83496,19.367,107.9934,25.58764
58584.5,2019-Apr-11 12:00,24.18965,17.00585,19.362,107.944,25.23555
58585.5,2019-Apr-12 12:00,24.93763,17.17439,19.356,107.8942,24.87791
58586.5,2019-Apr-13 12:00,25.68592,17.34055,19.351,107.8443,24.51488
58587.5,2019-Apr-14 12:00,26.43453,17.50429,19.346,107.7945,24.14661
58588.5,2019-Apr-15 12:00,27.18345,17.66558,19.341,107.7452,23.77331
58589.5,2019-Apr-16 12:00,27.93268,17.82438,19.335,107.6965,23.3952
58590.5,2019-Apr-17 12:00,28.68223,17.98066,19.329,107.6488,23.01249
58591.5,2019-Apr-18 12:00,29.4321,18.13439,19.324,107.6022,22.6254
58592.5,2019-Apr-19 12:00,30.18228,18.28555,19.318,107.5568,22.2341
58593.5,2019-Apr-20 12:00,30.93279,18.4341,19.312,107.5126,21.83872
58594.5,2019-Apr-21 12:00,31.68363,18.58001,19.306,107.4694,21.43936
58595.5,2019-Apr-22 12:00,32.43479,18.72327,19.3,107.4269,21.03605
